                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.0234,                 2.4319,                 2.4582,                0.67558,                0.57647,                0.60586,                0.26191,                 2.0294,                 2.5547,                 2.3624,             0.00096981,             0.00096981,             0.00096981
                     63,                 1.8767,                 2.2179,                  2.231,                0.70205,                0.59225,                0.64899,                0.33462,                  1.782,                 2.3558,                 2.1462,             0.00096931,             0.00096931,             0.00096931
                     64,                 1.8181,                 2.2074,                 2.1982,                0.53545,                0.61111,                 0.6604,                0.41644,                 1.5383,                 2.1111,                 2.0075,             0.00096882,             0.00096882,             0.00096882
                     65,                 1.8635,                 2.2493,                 2.1934,                0.53023,                0.64634,                0.66078,                0.31207,                 1.8539,                 2.1405,                 2.2866,             0.00096832,             0.00096832,             0.00096832
                     66,                 1.9563,                 2.2487,                 2.3029,                0.52685,                0.78582,                 0.7313,                0.42045,                 1.5844,                 1.9722,                 2.0661,             0.00096783,             0.00096783,             0.00096783
                     67,                 1.8393,                 2.1364,                 2.2153,                0.52115,                0.75909,                0.71434,                0.43969,                 1.4084,                 1.9879,                 1.9265,             0.00096733,             0.00096733,             0.00096733
                     68,                  1.783,                 2.0955,                   2.16,                 0.4476,                0.69264,                0.61709,                 0.3139,                 1.6691,                  2.391,                 2.1723,             0.00096683,             0.00096683,             0.00096683
                     69,                 1.8582,                 2.1806,                 2.2903,                0.58651,                  0.631,                0.67092,                0.33541,                 1.6906,                 2.1644,                 2.1908,             0.00096634,             0.00096634,             0.00096634
                     70,                 1.8102,                 2.1979,                 2.2038,                0.55767,                 0.6512,                0.67246,                 0.3854,                 1.5467,                  1.975,                 2.0247,             0.00096585,             0.00096585,             0.00096585
                     71,                 1.7166,                 2.0813,                 2.0944,                0.46201,                0.67774,                0.66742,                0.38181,                 1.5253,                 1.9602,                 1.9492,             0.00096535,             0.00096535,             0.00096535
                     72,                 1.7934,                 2.0272,                  2.151,                 0.4157,                0.73543,                0.66323,                0.37104,                 1.5127,                 2.4317,                 1.9778,             0.00096486,             0.00096486,             0.00096486
                     73,                 1.6731,                 1.9209,                 2.0889,                0.35378,                0.74763,                0.62447,                0.35796,                 1.4986,                 2.5905,                 1.9933,             0.00096436,             0.00096436,             0.00096436
                     74,                 1.6815,                 2.0817,                 2.1076,                0.50241,                0.56501,                0.63961,                0.33765,                 1.5964,                 2.5594,                 2.1681,             0.00096386,             0.00096386,             0.00096386
                     75,                  1.768,                 1.9959,                  2.181,                0.51743,                0.56861,                0.71799,                0.37999,                 1.6572,                 2.3698,                  2.133,             0.00096337,             0.00096337,             0.00096337
                     76,                 1.7632,                 1.9273,                 2.1472,                0.51233,                0.75828,                0.68697,                  0.392,                 1.5537,                 2.0249,                 1.9972,             0.00096288,             0.00096288,             0.00096288
                     77,                 1.6167,                 1.7922,                 2.0371,                 0.5452,                0.81064,                0.69485,                0.39497,                 1.5197,                 1.9007,                 1.9569,             0.00096238,             0.00096238,             0.00096238
                     78,                 1.7524,                 1.9039,                 2.1058,                0.56974,                0.74982,                0.72487,                0.41892,                 1.5613,                 1.9143,                 2.0003,             0.00096188,             0.00096188,             0.00096188
                     79,                 1.6776,                 1.8384,                 2.0552,                0.52938,                 0.6412,                0.69799,                0.41833,                 1.4795,                 1.9903,                 2.0018,             0.00096139,             0.00096139,             0.00096139
                     80,                 1.6566,                 1.8839,                 2.0754,                0.72704,                 0.7015,                 0.7929,                0.50747,                 1.3869,                 2.0792,                 1.9696,              0.0009609,              0.0009609,              0.0009609
                     81,                 1.6974,                 1.8371,                 2.0933,                 0.7929,                 0.7121,                0.84684,                0.54173,                  1.347,                 2.0654,                 1.9797,              0.0009604,              0.0009604,              0.0009604
                     82,                 1.7072,                 1.9316,                 2.1404,                0.74191,                0.79458,                0.89366,                0.53713,                 1.3722,                 1.8904,                 1.9963,             0.00095991,             0.00095991,             0.00095991
                     83,                 1.6565,                 1.8637,                 2.0657,                0.76575,                0.74314,                0.88227,                0.51988,                 1.4206,                 1.8663,                 2.0009,             0.00095941,             0.00095941,             0.00095941
                     84,                 1.7322,                 1.8431,                 2.1229,                0.50659,                0.81985,                0.84452,                0.35767,                 1.6863,                 2.0575,                 2.1274,             0.00095892,             0.00095892,             0.00095892
                     85,                 1.6117,                 1.7728,                 2.0234,                0.49172,                0.81638,                0.80617,                0.35208,                 1.7363,                 1.9704,                 2.0969,             0.00095842,             0.00095842,             0.00095842
                     86,                 1.7346,                 1.8527,                 2.1357,                0.61782,                0.75525,                 0.7664,                 0.4913,                 1.4108,                 1.6861,                 1.8147,             0.00095793,             0.00095793,             0.00095793
                     87,                  1.695,                 1.9067,                 2.0593,                0.69149,                0.68813,                0.80208,                0.50212,                 1.3821,                  1.636,                 1.8262,             0.00095743,             0.00095743,             0.00095743
